no,X,Y,OBJECTID,BBY_PID,LOT_ID,GIS_ID,LTO_PID,ST_UNIT,ST_NMBR,ST_NAME,ST_TYPE,ST_SFX,UNIT,ADDRESS,PLAN,DL,BLOCK,LOT,STRATA,AIR_SPACE,AGGREGATE,AGGR_ROLL,CASENO,STATUS,CASE_TYPE,PID,CASE_BUS_TR_NAME,serviceProvded,CASE_BUS_TYPE_DESC,BUS_CLASS_UNITS,BUS_CLASS_NO,BUS_CLASS_DESC,APPLYDATE,ISSUEDATE,EXPIRYDATE,LICENCESTATUS,NAME_LAST
8185,-122.8932238,49.24511067,8185,000-055-488,18734,6777,002-812-274, ,4341,NORTH,RD,, ,4327 NORTH RD,NWP50027,1&2, ,80,N,N,N,,BUS18-00904,Approved,,000-055-488,JUILLET CAFE,n,"Cafe (coffee, sandwiches & pastries)",Seats,24,Restaurant,2018-04-10T18:30:46.000Z,2018-12-31T19:21:54.000Z,2019-12-31T08:00:00.000Z,Approved,0722802 BC LTD
8188,-122.9097372,49.27837091,8188,000-074-519,112759,5639,028-300-271,101,9055,UNIVERSITY HIGH,ST,,101,9055 UNIVERSITY HIGH ST,BCP45523,211,,25,N,N,N,,BUS18-00907,Approved,,000-074-519,TIM HORTONS,y,Food service,Seats,48,Restaurant,2018-04-10T20:18:15.000Z,2018-11-30T08:00:23.000Z,2019-12-31T08:00:00.000Z,Approved,474722 BC LTD
8231,-123.0192967,49.28137742,8231,000-003-261,4084,19960,001-103-156, ,3851,HASTINGS,ST,, ,3851 HASTINGS ST,NWP1236,116,7,13,N,N,N,,BUS18-00979,Approved,,000-003-261,DESCO CAFFE,n,Cafe,Seats,50,Restaurant,2018-04-19T22:47:21.000Z,2018-05-30T18:27:15.000Z,2018-12-31T08:00:00.000Z,Approved,DESCO CAFFE LIMITED
8283,-123.0145883,49.28080167,8283,000-003-406,4406,20460,001-395-238, ,4092,HASTINGS,ST,, ,4090 HASTINGS ST,NWP1236,116,12,8,N,N,N,,BUS18-01067,Approved,,000-003-406,OUI COFFEE HOUSE,n,"Coffee shop, soup & sandwich",Seats,20,Restaurant,2018-05-02T16:40:24.000Z,2018-12-19T08:03:27.000Z,2019-12-31T08:00:00.000Z,Approved,1160912 BC LTD
8346,-123.0095352,49.23139071,8346,000-057-119,37424,7888,024-473-324,1,4250,KINGSWAY, ,,1,4250 KINGSWAY,LMS3856,151, ,59,Y,N,N,,BUS18-01173,Approved,,000-057-125,WAVES COFFEE,n,Coffee house - 46 Seats,Seats,46,Restaurant,2018-05-15T21:50:25.000Z,2019-01-23T08:00:50.000Z,2019-12-31T08:00:00.000Z,Approved,1159732 BC LTD
8441,-122.8937897,49.24395392,8441,000-055-489,18968,30891,023-836-253,103,4501,NORTH,RD,,103,4501 NORTH RD,NWS1901,1, ,12,Y,N,N,,BUS18-01368,Approved,,000-055-496,SAEMAUL RICE DESSERT CAFE,n,Take out coffee shop - 0 seats,Seats,0,Restaurant,2018-06-12T19:29:44.000Z,2018-06-25T22:05:57.000Z,2018-12-31T08:00:00.000Z,Approved,SAEMAUL FOOD & TRADING INC
8464,-122.9283723,49.21911613,8464,000-060-233,103586,15198,025-653-318,101,7885,SIXTH,ST,,101,7885 6TH ST,BCP5167,28, ,A,N,N,N,,BUS18-01402,Approved,,000-060-233,HIEL CAFE,n,Coffee and tea cafe,Seats,50,Restaurant,2018-06-19T19:17:13.000Z,2018-12-29T08:02:23.000Z,2019-12-31T08:00:00.000Z,Approved,SEOKWOO YANG
8575,-122.9665677,49.21907347,8575,000-022-989,30888,5429,002-785-641, ,6641,KINGSWAY, ,, ,6641 KINGSWAY,NWP57260,96, ,106,N,N,N,,BUS18-01600,Approved,,000-022-989,TIM HORTONS #115,y,Restaurant/bake shop - 51 seats,Seats,51,Restaurant,2018-07-17T18:02:47.000Z,2019-01-08T21:12:42.000Z,2019-12-31T08:00:00.000Z,Approved,1016656 BC LTD
8621,-123.0151205,49.26542593,8621,000-056-181,37456,29200,024-251-500,103,3999,HENNING,DR,,103,3999 HENNING DR,LMP39484,118, ,4,N,N,N,,BUS18-01699,Approved,,000-056-181,CAFE LUNCH PIA,n,Coffee shop - tenant use only 0 seats,Seats,0,Restaurant,2018-07-30T16:30:36.000Z,2018-12-29T00:33:50.000Z,2019-12-31T08:00:00.000Z,Approved,MAN YING YE
8625,-122.8937897,49.24395392,8625,000-055-489,18968,30891,023-836-423,202A,4501,NORTH,RD,,202A,4501 NORTH RD,NWS1901,1, ,27,Y,N,N,,BUS18-01704,Approved,,000-055-511,SULBING KOREAN DESSERT CAFE,n,Dessert cafe - 26 seats max,Seats,30,Restaurant,2018-07-30T22:15:55.000Z,2018-12-31T21:43:37.000Z,2019-12-31T08:00:00.000Z,Approved,SULBING CAFE NORTH ROAD LTD
